,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Price in EUR
3340,Motor Yacht,Curvelle power boats,"Used boat,Diesel",2013,34.1,9.0,Carbon Fiber,Croatia,133,8350000
3341,Mega Yacht,Sanlorenzo power boats,Used boat,2019,31.08,7.06,GRP,Netherlands,122,7900000
3342,Flybridge,Sunseeker power boats,"new boat on order,Diesel",2020,28.06,6.55,GRP,United,535,8496100
3343,Flybridge,Princess power boats,"Used boat,Diesel",2018,30.21,7.04,GRP,Spain,603,8083000
3344,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2015,35.05,7.44,GRP,Australia,122,7250000
3345,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,28.96,6.58,GRP,Spain,84,7670000
3346,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2020,28.96,6.58,GRP,Malta,102,7100000
3347,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2020,28.96,6.58,GRP,United,90,7504800
3348,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2013,34.53,7.41,GRP,Monaco,163,6950000
3351,Motor Yacht,Princess power boats,"Used boat,Diesel",2018,30.56,6.92,GRP,Spain,206,7375000
3353,Mega Yacht,Cantieri di Pisa power boats,"Used boat,Diesel",2004,38.3,7.5,GRP,Greece,227,6800000
3354,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2014,34.53,7.41,GRP,France,180,7074100
3356,Mega Yacht,Princess power boats,"Used boat,Diesel",2018,30.57,6.95,GRP,Spain,103,6785000
3358,Flybridge,Sunseeker power boats,"new boat on order,Diesel",2019,26.3,6.47,GRP,United,209,6649480
3362,Mega Yacht,Rodriguez Group (Italyachts) power boats,"Used boat,Diesel",2010,41.1,8.4,Aluminium,France,986,5900000
3364,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2010,33.83,7.39,GRP,France,129,4900000
3365,Mega Yacht,Heesen Yachts power boats,"Used boat,Diesel",2002,37.0,7.6,Aluminium,Italy,143,4900000
3368,Motor Yacht,Sanlorenzo power boats,Used boat,2016,26.76,6.35,GRP,Netherlands,108,4800000
3369,Mega Yacht,Palmer Johnson power boats,Used boat,2005,36.5,7.1,Aluminium,Netherlands,157,4800000
3371,Mega Yacht,Perini Navi Spa power boats,"Used boat,Diesel",2000,49.8,11.41,Aluminium,Italy,203,4600000
3375,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,29.8,6.9,GRP,Croatia,163,4500000
3376,Motor Yacht,Sanlorenzo power boats,Used boat,2019,23.75,6.6,GRP,Netherlands,94,4395000
3377,Motor Yacht,Benetti power boats,"Used boat,Diesel",2011,28.5,7.03,GRP,Turkey,59,4350000
3378,Motor Yacht,Pershing power boats,"Used boat,Diesel",2012,27.96,6.23,GRP,France,279,4300000
3379,Mega Yacht,Johnson power boats,"Used boat,Diesel",2013,32.92,7.2,GRP,Taiwan,118,4250000
3380,Flybridge,Sunseeker power boats,"Used boat,Diesel",2017,26.52,6.49,GRP,United,45,4543000
3381,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2016,26.21,6.13,GRP,France,71,4200000
3382,Mega Yacht,Italcraft power boats,"Used boat,Diesel",2019,31.0,7.9,GRP,Italy,136,4150000
3383,Motor Yacht,Sanlorenzo power boats,Used boat,2019,24.64,5.74,GRP,Netherlands,102,4100000
3384,Flybridge,Sunseeker power boats,"Used boat,Diesel",2013,28.14,6.4,GRP,Croatia,99,4307000
3385,Motor Yacht,Cranchi power boats,"new boat on order,Diesel",2020,25.15,5.76,GRP,France,166,3960000
3386,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2019,23.62,5.97,GRP,Spain,114,4242100
3387,Mega Yacht,Couach power boats,"Used boat,Diesel",2008,37.0,7.3,GRP,France,153,3900000
3388,Hardtop,ISA Yachts power boats,"Used boat,Diesel",2018,24.1,6.8,GRP,Italy,140,3850000
3390,Motor Yacht,Pershing power boats,Used boat,2014,24.97,5.5,GRP,Netherlands,149,3750000
3391,Mega Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,33.0,7.4,GRP,Italy,78,3690000
3396,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,26.24,6.13,GRP,Portugal,204,3200000
3397,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,28.16,6.52,GRP,France,87,3416100
3398,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,23.62,5.97,GRP,United,26,3286300
3399,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,23.62,5.97,GRP,United,38,3286300
3402,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2008,26.75,6.75,GRP,Italy,57,3000000
3403,Mega Yacht,Numarine power boats,"Used boat,Diesel",2015,31.08,7.1,GRP,Turkey,99,2990000
3405,Motor Yacht,Azimut power boats,"Used boat,Diesel",2016,25.2,6.18,GRP,Italy,109,2950000
3407,Motor Yacht,Riva power boats,Used boat,2010,28.0,6.75,GRP,Netherlands,166,2950000
3408,Motor Yacht,Monte Carlo power boats,Used boat,2018,24.62,6.15,GRP,Netherlands,113,2950000
3409,Motor Yacht,Sunreef power boats,"Used boat,Diesel",2017,20.45,10.5,GRP,Spain,164,2950000
3410,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2012,26.44,6.3,GRP,Spain,172,2900000
3413,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,26.0,6.0,GRP,Italy,74,2900000
3414,Flybridge,Princess power boats,"Used boat,Diesel",2019,21.25,5.38,GRP,Croatia,85,2900000
3415,Flybridge,Azimut power boats,"Used boat,Diesel",2017,22.05,5.6,GRP,United,77,2899000
3420,Motor Yacht,Sunseeker power boats,"new boat on order,Diesel",2019,22.82,5.38,GRP,United,125,2960879
3421,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,32.9,6.3,GRP,France,331,2750000
3422,Flybridge,Azimut power boats,"Used boat,Diesel",2013,23.95,6.45,GRP,Italy,158,2700000
3423,Flybridge,Princess power boats,"Used boat,Diesel",2019,21.31,5.38,GRP,France,142,2855600
3424,Flybridge,Riva power boats,"Used boat,Diesel",2006,26.2,6.2,GRP,Spain,86,2650000
3427,Mega Yacht,Leopard power boats,"Used boat,Diesel",2006,32.16,7.59,GRP,Italy,112,2490000
3429,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2019,22.59,5.43,GRP,Spain,84,2672700
3430,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2020,22.59,5.43,GRP,United,50,2672700
3431,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,26.75,6.75,GRP,Italy,37,2450000
3432,Hardtop,Pershing power boats,"Used boat,Diesel",2017,21.44,5.0,GRP,Spain,143,2450000
3433,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,23.01,5.52,GRP,United,100,2590100
3434,Mega Yacht,Greenline power boats,"new boat from stock,Diesel",2018,20.8,5.45,GRP,Slovenia,88,2400000
3437,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,20.8,5.45,GRP,Denmark,54,2285156
3438,Motor Yacht,Sunreef power boats,"Used boat,Diesel",2012,21.3,7.5,GRP,Spain,95,2350000
3439,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2019,22.59,5.43,GRP,United,43,2483900
3440,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2019,22.59,5.43,GRP,United,33,2483900
3441,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2019,20.82,5.27,GRP,United,113,2476820
3442,Flybridge,Bering Yachts power boats,"Used boat,Diesel",2018,21.44,5.57,Steel,Turkey,152,2300000
3443,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2008,32.91,6.3,GRP,Italy,115,2300000
3446,Hardtop,Sunseeker power boats,"Used boat,Diesel",2014,24.9,6.09,GRP,Switzerland,196,2250000
3449,Motor Yacht,Dominator power boats,"Used boat,Diesel",2012,23.1,6.0,GRP,Croatia,87,2200000
3450,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,27.43,6.34,GRP,Italy,94,2200000
3452,Catamaran,Sunreef power boats,Used boat,2013,21.4,9.3,GRP,Croatia,96,2200000
3456,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,23.16,5.52,GRP,United,57,2354100
3458,Flybridge,Baikal power boats,"new boat on order,Diesel",2020,23.2,6.4,Steel,Russian,227,2000000
3462,Mega Yacht,Baglietto power boats,"Used boat,Diesel",2004,32.0,7.0,Aluminium,Spain,230,1995000
3463,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2002,33.48,7.1,GRP,France,252,1995000
3465,Motor Yacht,Pershing power boats,"Used boat,Diesel",2015,20.8,5.0,GRP,Croatia,157,1990000
3467,Motor Yacht,Prestige Yachts power boats,new boat from stock,2019,21.46,5.33,GRP,Netherlands,70,1985000
3468,Motor Yacht,Riva power boats,"Used boat,Diesel",2009,26.03,6.16,GRP,France,130,1980000
3469,Mega Yacht,Mangusta power boats,"Used boat,Diesel",2003,33.48,7.1,GRP,Spain,280,1975000
3471,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,27.89,6.34,GRP,Italy,172,1950000
3473,Flybridge,MCY power boats,"Used boat,Diesel",2015,21.3,5.45,PVC,Thailand,65,1950000
3476,Flybridge,Prestige Yachts power boats,Used boat,2020,21.46,5.33,PVC,France,61,1945000
3478,Motor Yacht,Filippetti power boats,"Used boat,Diesel",2008,23.47,5.8,GRP,Germany,24,1900000
3482,Flybridge,Ses Yachts power boats,"Used boat,Diesel",2019,32.15,6.1,GRP,Turkey,141,1890000
3483,Motor Yacht,Lengers power boats,Used boat,2015,18.4,5.4,Aluminium,Netherlands,93,1875000
3484,Flybridge,Sunseeker power boats,"Used boat,Diesel",2018,21.03,5.27,GRP,France,46,2000100
3485,Motor Yacht,Permare power boats,"Used boat,Diesel",2010,28.0,6.3,GRP,Croatia,42,1850000
3486,Motor Yacht,Permare power boats,"Used boat,Diesel",2009,28.0,6.3,GRP,Italy,56,1850000
3487,Mega Yacht,Azimut power boats,"Used boat,Diesel",2007,30.75,6.88,GRP,France,112,1850000
3489,Motor Yacht,MCY power boats,"Used boat,Diesel",2013,23.14,5.59,GRP,Spain,70,1780000
3490,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,20.73,5.27,GRP,Spain,96,1882100
3491,Flybridge,Dominator power boats,"Used boat,Diesel",2009,23.95,6.05,GRP,Croatia,44,1750000
3493,Mega Yacht,Riva power boats,"Used boat,Diesel",2009,26.01,6.15,GRP,Italy,226,1750000
3495,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2017,21.45,5.3,PVC,France,77,1750000
3496,Motor Yacht,Riva power boats,"Used boat,Diesel",2009,23.95,6.2,GRP,Italy,95,1750000
3497,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,26.25,6.35,GRP,France,67,1750000
3498,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,18.95,4.99,GRP,Denmark,87,1681875
3499,Flybridge,Cranchi power boats,"new boat from stock,Diesel",2020,15.82,4.67,GRP,Italy,62,1705992
3502,Motor Yacht,Maiora power boats,"Used boat,Diesel",2008,23.95,6.3,GRP,Italy,57,1700000
3503,Flybridge,Grand Banks power boats,"Used boat,Diesel",2012,18.0,5.5,GRP,France,225,1700000
3504,Motor Yacht,MCY power boats,"Used boat,Diesel",2011,23.05,5.65,GRP,Italy,126,1700000
3505,Flybridge,Dominator power boats,"Used boat,Diesel",2009,23.95,6.05,GRP,Croatia,99,1699000
3506,Mega Yacht,Tecnomar power boats,"Used boat,Diesel",2009,30.6,6.5,GRP,Greece,110,1699000
3507,Motor Yacht,Riva power boats,Used boat,2014,20.82,5.45,GRP,Netherlands,173,1695000
3510,Flybridge,Ferretti power boats,"Used boat,Diesel",2008,25.3,6.26,GRP,Croatia,121,1690000
3511,Motor Yacht,BLUEGAME power boats,new boat from stock,2019,18.8,5.38,GRP,Netherlands,75,1685000
3513,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,23.95,6.18,GRP,Italy,56,1650000
3516,Motor Yacht,Cranchi power boats,"new boat on order,Diesel",2020,17.0,4.95,PVC,France,113,1607730
