,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Price in EUR
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,Germany,75,3490
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,58,3399
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland,239,3535
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,Italy,69,3500
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,Switzerland,113,4646
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland,413,4545
18,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,France,265,4000
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,69,3999
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany,90,3930
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany,98,3900
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland,160,4242
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,Switzerland,130,4070
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland,512,4014
30,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland,202,3989
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland,255,3838
35,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland,1804,3838
36,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland,849,3838
38,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,Germany,133,3500
43,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,Germany,186,5500
44,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain,118,5500
45,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy,74,5500
46,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,Switzerland,543,5959
49,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,Germany,67,5399
53,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,Germany,141,5200
54,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,Switzerland,278,5555
55,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,Switzerland,99,5555
57,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland,1201,7272
59,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany,277,6590
60,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy,85,6500
61,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,Germany,122,6500
62,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5.0,2.15,GRP,Italy,183,6500
63,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8.0,2.1,GRP,Germany,289,6500
64,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria,324,6500
66,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,Germany,126,6490
67,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,Switzerland,238,7070
68,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland,866,7070
69,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland,574,7070
71,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland,205,8383
74,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200,7640
75,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland,462,8236
76,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201,7500
79,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137,7500
80,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208,7500
81,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189,7500
82,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131,7500
83,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490,7500
86,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland,280,9494
89,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland,873,9357
90,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland,258,9292
94,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165,8500
95,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78,8500
96,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116,8500
97,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250,8500
101,Trawler,Gouwerok power boats,Used boat,1980,8.5,3.0,Steel,Netherlands,183,9750
102,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland,465,10605
106,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6.0,2.3,GRP,Switzerland,418,10504
107,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany,185,9599
108,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany,64,9575
110,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,Netherlands,91,9553
111,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands,138,9500
112,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184,9500
113,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162,9500
116,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland,256,11110
117,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,Switzerland,230,11110
118,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,Switzerland,182,11110
120,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany,115,10115
121,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland,159,11009
123,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585,10000
124,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185,10000
127,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,Italy,182,10000
128,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900,10000
129,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783,10000
130,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175,10000
131,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207,10000
132,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284,11000
133,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125,11000
134,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229,11000
135,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226,11000
136,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87,11000
138,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175,11000
139,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173,11000
140,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,Spain,422,11000
141,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243,11000
142,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands,254,11000
143,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany,150,10999
144,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255,10999
145,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany,179,10999
146,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany,169,10990
147,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136,10990
148,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141,12000
149,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia,442,12000
151,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327,12000
152,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy,188,12000
153,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany,1101,12000
156,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5.0,4.96,PVC,France,141,11990
157,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,Switzerland,284,13079
160,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,Switzerland,273,13029
161,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland,365,13029
165,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,Germany,180,12770
170,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.0,2.0,GRP,Italy,147,12500
172,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany,235,12500
173,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy,452,12500
174,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherlands,165,12500
178,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland,436,14948
179,Deck Boat,Jeanneau power boats,new boat from stock,2014,5.0,2.0,PVC,Slovak,35,13690
180,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,Switzerland,212,14847
183,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,Italy,121,13500
185,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,France,110,13500
186,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,Netherlands,83,13500
187,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7.0,2.0,PVC,Spain,264,13500
188,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,Italy,109,13500
189,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,Croatia,132,13500
190,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2.0,PVC,France,81,13500
191,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,France,262,13500
193,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3.0,2.0,PVC,Portugal,186,14500
195,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,Switzerland,292,15756
197,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,Germany,119,14366
198,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,Switzerland,151,15655
201,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,Switzerland,285,14200
202,Sport Boat,Gobbi power boats,Used boat,1997,9.15,3.0,GRP,Italy,281,14000
204,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,6.42,2.38,GRP,Italy,132,14000
206,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,Croatia,118,14000
209,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,Germany,156,14900
210,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10.0,3.0,GRP,Croatia,111,14900
211,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Italy,87,14900
212,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,Germany,70,14900
214,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,Italy,356,14900
215,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,Germany,198,14900
216,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,5.15,2.15,PVC,France,68,14900
219,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Switzerland,80,14900
221,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5.0,2.1,GRP,Germany,180,14900
222,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,Germany,145,15500
225,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,Austria,125,15500
226,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,Austria,236,15500
227,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,Netherlands,253,15500
228,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,7.0,2.5,GRP,Germany,311,15500
229,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,Germany,219,15499
230,Deck Boat,Jeanneau power boats,new boat from stock,2017,5.0,2.0,PVC,Slovak,71,15490
231,Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,Germany,56,15446
233,Center console boat,Ranieri power boats,new boat from stock,2019,6.0,2.25,GRP,Italy,116,15400
238,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,Switzerland,341,17860
240,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,Switzerland,201,17675
242,Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,Germany,99,16220
245,Sport Boat,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,Germany,60,16190
246,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,Switzerland,387,17675
247,Pilothouse,Smartliner power boats,new boat on order,2020,6.4,2.25,GRP,Switzerland,399,17574
248,Center console boat,Morningstar power boats,new boat from stock,2019,5.0,2.0,Aluminium,Switzerland,149,17574
250,Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,7.35,2.6,GRP,Croatia,141,16000
251,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,Montenegro,53,16900
252,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,Germany,154,16900
254,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,Italy,107,16900
255,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,Germany,405,16900
256,Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,France,62,16900
257,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,France,98,16900
258,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,Spain,152,16900
260,Trawler,GioMare power boats,Used boat,1995,5.7,2.8,GRP,Rovinij,172,16900
261,Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,Switzerland,339,18442
262,Sport Boat,Yamarin power boats,new boat from stock,2020,5.53,2.24,GRP,Germany,127,16870
263,Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,5.83,2.03,GRP,Switzerland,247,18392
264,Fishing Boat,Lund Boats power boats,new boat from stock,2020,4.95,2.03,Aluminium,Switzerland,241,18382
265,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,6.5,2.5,Thermoplastic,Switzerland,331,18382
267,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,6.22,2.47,PVC,France,144,17500
270,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,5.4,2.4,GRP,Portugal,192,17500
272,Trawler,Pedro power boats,Used boat,1984,8.6,2.8,Steel,Netherlands,149,17500
273,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,7.0,2.0,GRP,Germany,164,17490
274,Cabin Boat,Winga power boats,"Used boat,Diesel",1977,7.5,2.75,GRP,Germany,162,17490
275,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,5.0,1.94,Aluminium,Switzerland,215,19089
278,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,5.71,2.34,Plastic,Switzerland,335,19089
279,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,Switzerland,686,19089
280,Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,Switzerland,1028,19695
286,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,7.96,2.47,GRP,Portugal,375,18000
287,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,6.2,2.0,GRP,Italy,333,18000
288,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,7.35,2.72,GRP,Spain,129,18000
289,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,6.21,2.48,PVC,Spain,211,18000
291,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,8.0,2.94,GRP,Italy,334,18000
292,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,5.59,2.29,PVC,Spain,119,18000
296,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,5.33,2.25,PVC,France,110,18800
297,Center console boat,Clear power boats,new boat from stock,2020,6.15,2.27,GRP,Germany,149,18750
299,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,6.5,2.4,GRP,Germany,254,18700
300,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,6.1,2.4,GRP,Switzerland,324,18690
301,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,7.62,2.59,GRP,Switzerland,220,20200
302,Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,4.67,2.16,GRP,Switzerland,540,20189
303,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,7.22,2.57,GRP,Switzerland,339,20189
306,Fishing Boat,Smartliner power boats,new boat from stock,2020,6.4,2.25,GRP,Switzerland,185,20301
307,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,Switzerland,401,20099
308,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,Switzerland,2026,20099
310,Sport Boat,Yamarin power boats,new boat from stock,2020,4.86,1.96,Aluminium,Germany,145,18515
311,Trawler,Beachcraft power boats,Used boat,1981,8.2,3.1,Steel,Netherlands,118,19500
312,Cabin Boat,Waterland power boats,Used boat,1975,8.2,3.1,GRP,Netherlands,101,19500
313,Cabin Boat,KOK power boats,Used boat,2005,6.1,2.25,Steel,Netherlands,78,19500
314,Motor Yacht,Mazury power boats,"Used boat,Unleaded",2010,5.0,2.27,GRP,Germany,273,19500
315,Cabin Boat,Sea Ray power boats,Used boat,1996,8.95,2.59,GRP,Steinwiesen,778,19500
316,Cabin Boat,Bayliner power boats,Unleaded,2003,5.89,2.37,GRP,Germany,261,19490
317,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,5.95,2.27,GRP,Switzerland,163,21210
319,Motor Yacht,Pacific Craft power boats,"new boat from stock,Unleaded",2018,4.99,1.97,GRP,Switzerland,183,21159
321,Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,117,19300
322,Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,9.0,1.7,Wood,Switzerland,235,21008
323,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.12,2.44,GRP,Italy,217,19900
324,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,4.78,1.95,GRP,Germany,121,19900
326,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,9.0,3.2,GRP,Germany,314,19900
327,Motor Yacht,Crownline power boats,Used boat,1997,7.5,2.59,GRP,Netherlands,122,19900
328,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,7.83,2.58,PVC,France,165,19900
329,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,6.16,2.29,GRP,Germany,375,19900
331,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,Aluminium,Germany,80,19900
333,Sport Boat,Kelt power boats,"Used boat,Unleaded",2002,6.97,2.44,PVC,France,89,19900
334,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2006,6.23,2.3,PVC,France,97,19900
335,Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,8.15,2.9,GRP,Germany,280,19900
336,Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,5.1,2.02,Wood,Germany,206,19900
337,Cabin Boat,Smartliner power boats,"Used boat,Unleaded",2017,5.7,2.25,GRP,Germany,159,19900
338,Motor Yacht,Doerak Sneek power boats,"Used boat,Diesel",1969,8.5,3.1,Steel,Belgium,157,19900
339,Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.75,2.54,GRP,Germany,153,20499
340,Sport Boat,Sting power boats,new boat from stock,2018,6.08,2.37,GRP,Germany,115,20490
341,Center console boat,Sting power boats,new boat from stock,2020,5.3,2.15,GRP,Switzerland,118,22331
342,Sport Boat,Scand power boats,"Used boat,Unleaded",1989,8.5,3.0,GRP,Switzerland,537,22220
343,Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,7.63,2.5,GRP,Switzerland,176,22220
344,Bowrider,Cranchi power boats,Used boat,1993,7.6,2.47,GRP,Switzerland,415,22220
345,Cabin Boat,Saga power boats,"Used boat,Diesel",1978,8.12,2.75,GRP,Switzerland,593,22220
346,Hardtop,Finnmaster power boats,"Used boat,Unleaded",2001,6.01,2.3,GRP,Switzerland,527,22220
347,Sport Boat,Draco power boats,"Used boat,Unleaded",1993,6.77,2.28,GRP,Switzerland,265,22220
348,Pilothouse,Sessa power boats,"Used boat,Unleaded",2006,6.5,2.43,GRP,Switzerland,466,22220
354,Pilothouse,Jeanneau power boats,"new boat on order,Unleaded",2020,5.64,2.45,GRP,Germany,73,21396
357,Pilothouse,Atlantic Marine power boats,new boat from stock,2019,6.6,2.47,GRP,Switzerland,394,23230
358,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.0,2.43,GRP,Switzerland,863,23230
359,Sport Boat,Galia power boats,"Used boat,Unleaded",2020,4.75,1.9,GRP,Switzerland,235,23230
360,Sport Boat,Capelli power boats,"Used boat,Unleaded",2016,5.01,2.28,Hypalon,Switzerland,135,23129
361,Sport Boat,Rio Iberica power boats,"Used boat,Unleaded",2004,5.5,2.05,GRP,Switzerland,457,23129
362,Sport Boat,Yamarin power boats,new boat from stock,2019,5.67,2.25,GRP,Germany,135,21090
363,Sport Boat,Intermare power boats,"Used boat,Diesel",1991,6.45,2.4,GRP,Italy,49,21000
364,Bowrider,Cobalt power boats,"Used boat,Unleaded",1996,6.35,2.54,GRP,Italy,97,21000
365,Cabin Boat,Monterey power boats,"Used boat,Unleaded",1997,8.0,2.59,GRP,Italy,241,21000
366,Sport Boat,Azimut power boats,"Used boat,Diesel",1989,9.23,3.18,PVC,France,190,21000
368,Cabin Boat,Kelt power boats,Used boat,1992,8.8,2.98,GRP,Netherlands,146,21000
373,Water ski,Correct Craft power boats,"Used boat,Unleaded",2007,6.0,2.33,GRP,Germany,141,22000
375,Flybridge,Riva power boats,"Used boat,Diesel",1978,10.45,3.43,GRP,Italy,352,22000
376,Motor Yacht,Cytra power boats,"Used boat,Diesel",1979,9.5,3.2,GRP,Germany,190,22000
377,Center console boat,Crownline power boats,"Used boat,Unleaded",1996,7.5,2.59,GRP,Italy,111,22000
378,Sport Boat,Ilver power boats,"Used boat,Unleaded",1989,7.0,2.48,GRP,Italy,100,22000
381,Motor Yacht,Tullio Abbate power boats,Unleaded,1991,10.8,2.5,GRP,Germany,373,22000
385,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.47,2.29,GRP,Germany,86,22880
386,Deck Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.65,2.2,GRP,Germany,140,22850
388,Deck Boat,Yamarin power boats,new boat from stock,2020,5.28,2.09,Aluminium,Germany,114,22800
389,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2018,5.18,2.29,Aluminium,Portugal,87,22772
391,Pilothouse,Jeanneau power boats,new boat on order,2020,5.79,2.46,GRP,Germany,49,22765
394,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,7.15,2.51,PVC,France,110,22700
395,Motor Yacht,Master power boats,new boat on order,2020,5.42,2.32,GRP,France,142,22680
396,Offshore Boat,Baja power boats,"Used boat,Unleaded",1988,7.28,2.54,GRP,Switzerland,422,24745
397,Classic,Chris Craft power boats,"Used boat,Unleaded",1976,9.3,3.4,GRP,Switzerland,417,24745
398,"Cabin Boat,Sport Boat,Wakeboard/Wakesurf",Galeon power boats,"Used boat,Unleaded",2015,6.19,2.48,GRP,Switzerland,867,24745
399,Deck Boat,Yamarin power boats,new boat from stock,2020,6.25,2.3,GRP,Germany,107,22520
400,Bowrider,Nordkapp power boats,new boat from stock,2017,6.06,2.2,GRP,Germany,109,23640
401,Sport Boat,Regal power boats,"Used boat,Unleaded",2001,5.78,2.5,GRP,Switzerland,483,25755
402,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,4.54,1.85,GRP,Germany,84,23530
404,Trawler,Cascaruda power boats,Diesel,1982,9.3,3.0,Steel,Germany,164,23500
405,Pilothouse,Nidelv power boats,"Used boat,Diesel",1988,8.66,3.04,GRP,Switzerland,507,25250
406,Sport Boat,Windy power boats,"Used boat,Unleaded",1997,7.85,2.54,GRP,Switzerland,771,25250
407,Sport Boat,Wellcraft power boats,Used boat,1992,8.35,2.5,GRP,Switzerland,420,25250
408,Classic,Schneiter power boats,Used boat,1965,6.0,1.9,Wood,Switzerland,284,25250
409,Fishing Boat,The Captains power boats,new boat on order,2020,6.6,1.85,GRP,Switzerland,888,25250
410,Deck Boat,AMT power boats,new boat from stock,2019,5.6,2.25,GRP,Germany,84,23290
