,Length,Width,views_7days,Price in EUR,clusters,cluster
145,-0.9327296381557731,-1.0938918305667327,1.3878614680202261,-0.34880059938345087,1,light purple
146,-1.2031679191811357,-1.3169414603643528,-0.07619661134725317,-0.34880059938345087,1,light purple
147,-0.7492179474599916,-0.7816223488500645,-0.1230464698870125,-0.35091478787906716,1,light purple
148,-0.923071128119153,-1.0938918305667327,-0.6383949138243652,-0.3497059126274441,1,light purple
149,-0.9520466582290135,-1.0135939638395897,-0.04691544975990358,-0.3497059126274441,1,light purple
150,-1.0872657987416947,-1.1741896972938757,-0.3221583686809897,-0.3497059126274441,1,light purple
151,-0.6159305089546344,-0.3712110300224437,1.4229988619250455,-0.3497059126274441,1,light purple
152,-0.7878519876064718,-0.7905443340419696,-0.585688822967136,-0.3497059126274441,1,light purple
153,-0.7878519876064718,-0.7905443340419696,-0.37486445953821895,-0.3497059126274441,1,light purple
154,-1.112377924836907,-1.0135939638395897,-0.05862791439484342,-0.3497059126274441,1,light purple
155,-1.0679487786684545,-0.6031826450119687,0.058496731954554924,-0.3497059126274441,1,light purple
156,-1.2012362171738118,-1.308019475172448,1.036487528972031,-0.34763470636299665,1,light purple
157,-1.1007877127929626,-1.1028138157586374,-0.20503372233159134,-0.3497462084691649,1,light purple
158,-1.0428366525732422,-1.2901755047886385,0.4977141557647987,-0.34770186609919795,1,light purple
159,-1.2128264292177557,-1.2901755047886385,0.4625767618599792,-0.3477152980464382,1,light purple
160,-0.913412618082533,-0.8708422007691126,0.9896376704322717,-0.3477152980464382,1,light purple
161,-0.9675002742876055,-0.8976081563448268,-0.10547777293460275,-0.34889999579302877,1,light purple
162,-1.125899838888175,-0.9600620526881607,0.17562137830395327,-0.34889999579302877,1,light purple
163,-0.5077551965444893,-0.6031826450119687,-0.07619661134725317,-0.34889999579302877,1,light purple
164,-0.8168275177163321,-1.3169414603643528,0.011646873414795589,-0.348913427740269,1,light purple
165,-0.7202424173501312,-0.6477925709714926,-6.559122014424585e-05,-0.348913427740269,1,light purple
166,-1.2031679191811357,-1.3704733715157815,0.31031472160576135,-0.3467656593765521,1,light purple
167,-1.0660170766611305,-1.0135939638395897,1.0130625997021514,-0.3467656593765521,1,light purple
168,-0.913412618082533,-0.9154521267286364,3.068600143134092,-0.3467656593765521,4,dark purple
169,-1.029314738521974,-1.0314379342233992,5.071431595708804,-0.3459516833737926,4,dark purple
170,-0.6313841250132264,-0.8976081563448268,1.247311892400948,-0.348228398431016,1,light purple
171,-0.9713636783022536,-1.3169414603643528,1.0013501350672116,-0.348228398431016,1,light purple
172,-0.7492179474599916,-0.6745585265472068,-0.1933212576966515,-0.348228398431016,1,light purple
173,-0.9694319762949295,-0.8886861711529223,0.2868897923358817,-0.348228398431016,1,light purple
174,-0.6236573169839303,-0.4782748523253014,1.0072063673846814,-0.348228398431016,1,light purple
175,-1.0891975007490187,-1.0582038897991135,-0.25188358087135065,-0.348228398431016,1,light purple
176,-1.139421752939443,-1.0938918305667327,-0.3045896717285799,-0.3471538426517955,1,light purple
177,-0.9810221883388736,-1.076047860182923,-0.07619661134725317,-0.3472210023879968,1,light purple
178,-0.913412618082533,-0.9600620526881607,0.5387077819870881,-0.34728816212419805,1,light purple
179,-0.9906806983754938,-0.9600620526881607,0.9486440442099823,-0.34730159407143835,1,light purple
180,-0.6970619932622429,-0.7905443340419696,0.33959588319311096,-0.3452733700381597,1,light purple
181,-1.2669140854228282,-1.1741896972938757,2.213590224783484,-0.34528814518012396,4,dark purple
182,-0.7743300735552038,-0.8083883044257791,1.036487528972031,-0.34528814518012396,1,light purple
183,-0.9327296381557731,-1.0938918305667327,0.13462775208166383,-0.3451377073710331,1,light purple
184,-1.2031679191811357,-1.4061613122834007,1.399573932655166,-0.3454090327052863,1,light purple
185,-0.9829538903461977,-1.0135939638395897,10.915951448543781,-0.3454090327052863,4,dark purple
186,-1.230211747283672,-1.352629401131972,-0.09962154061713284,-0.3475366531481428,1,light purple
187,-0.5850232768374501,-0.33552308925482444,-0.2577398131888206,-0.3462136063449776,1,light purple
188,-0.5850232768374501,-0.33552308925482444,-0.3572957625858092,-0.3462136063449776,1,light purple
189,-0.9906806983754938,-1.0938918305667327,-0.4919891058876173,-0.3462136063449776,1,light purple
190,-1.2031679191811357,-1.076047860182923,0.6499761960190166,-0.3462136063449776,1,light purple
191,-0.44014562628814874,-0.7905443340419696,3.6073735163413243,-0.3462136063449776,4,dark purple
192,-1.0312464405292983,-0.986828008263875,0.5797014082093775,-0.34622703829221785,1,light purple
193,-1.0196562284853539,-1.076047860182923,0.005790641097325671,-0.3439167433668939,1,light purple
194,-1.2050996211884597,-1.343707415940067,0.12291528744672402,-0.3439852462978192,1,light purple
195,-1.1838508991078955,-1.2277216084453046,-0.2635960455062905,-0.3464822452897827,1,light purple
196,-0.4304871162515285,-1.5846010161214967,0.4274393679551597,-0.34418806870114704,1,light purple
197,-0.9868172943608456,-0.9243741119205414,0.3220271862407012,-0.3456763284553674,1,light purple
198,-1.245665363342264,-1.3615513863238766,-0.24017111623641085,-0.3456763284553674,1,light purple
199,-0.4304871162515285,-0.24630323733577636,0.8900817210352832,-0.3456763284553674,1,light purple
200,-0.7202424173501312,-0.7905443340419696,-0.23431488391894092,-0.3456763284553674,1,light purple
201,-0.6564962511084386,-0.7994663192338741,0.017503105732265507,-0.3456763284553674,1,light purple
202,-0.9790904863315496,-1.0582038897991135,1.247311892400948,-0.3456763284553674,1,light purple
203,-1.2128264292177557,-1.343707415940067,-0.48027664125267744,-0.3456763284553674,1,light purple
204,-0.8226226237383042,-0.9243741119205414,-0.42757055039544817,-0.3456763284553674,1,light purple
205,-0.9655685722802814,-1.0492819046072088,-0.38072069185568885,-0.3456763284553674,1,light purple
206,-0.59468178687407,-0.5139627930929206,0.690969822241306,-0.3456763284553674,1,light purple
207,-1.1838508991078955,-1.299097489980543,0.2576086307485321,-0.3456763284553674,1,light purple
208,-1.0679487786684545,-1.0938918305667327,-0.017634288172553997,-0.3456763284553674,1,light purple
209,-0.5270722166177294,-0.33552308925482444,-0.02934675280749383,-0.3456763284553674,1,light purple
210,-1.0582902686318343,-0.8351542600014934,-0.0527716820773735,-0.34487175481567606,1,light purple
211,-0.9945441023901418,-0.986828008263875,-0.27530851014123037,-0.3448838435681923,1,light purple
